crop,wavg_price,wavg_price_y1,wavg_price_y2,price_cv_y1,price_cv_y2,total_volume,trade_days,is_blanched,avg_daily_volume,availability,price_spread_ratio
FI1 茄子 胭脂茄,36.37630548427561,52.15308434210374,25.34604923278327,0.5872535607538101,0.41525528095973246,628196,421,False,1492.1520190023753,0.7075630252100841,0.5467766559240003
FQ2 毛豆 豆仁,131.90260075994246,143.84055958846983,123.84065231276732,0.3315239774043311,0.3974007485392617,621626,592,False,1050.043918918919,0.9949579831932773,0.29418132371496536
FL5 豌豆 豌豆苗,101.13488630116615,94.35022151181816,108.8180052805798,0.5542065963629161,0.6033804905434363,598467,521,False,1148.6890595009597,0.8756302521008403,0.5184482944448746
SX2 芽菜類 黃豆芽,20.00817368879082,19.990927349681623,20.02474795635847,0.02249357173966628,0.055813138380175764,596377,595,False,1002.3142857142857,1.0,0.004730575528407518
SE5 青蔥 紅蔥頭,61.536492275161145,66.86748327072203,57.72090529537229,0.35583490039662535,0.3377244604466706,586420,595,False,985.5798319327731,1.0,0.3935600138009479
SG7 大蒜 蒜瓣,133.16729905810632,149.8555164058107,120.86971504544546,0.3399624445818117,0.2611570569379528,582656,595,False,979.2537815126051,1.0,0.8478825924936058
FY94 玉米 進口 玉米筍,135.49904269721608,,135.49904269721608,,0.5927341156575846,582052,230,False,2530.6608695652176,0.3865546218487395,0.38778825099444886
FL9 豌豆 進口,151.14395634194292,138.39937666162217,173.55485917316375,0.3649426089520358,0.3664187970783998,575289,589,False,976.7215619694397,0.9899159663865547,0.2453078240100609
OC1 榨菜,31.406837996508276,30.97048545498097,31.927004850268297,0.08242342855184269,0.04493161270205032,552735,546,False,1012.3351648351648,0.9176470588235294,0.08544459235617936
LA6 甘藍 甘藍芽,29.907399713840718,33.183360056686816,27.629415963639463,0.7771809533865307,0.7215351798586324,536764,566,False,948.3462897526501,0.9512605042016806,0.6102068328502109
MA2 洋菇 盒裝,193.30910912290776,194.9367163859464,191.8297600380652,0.5951705189974127,0.5952967978692967,529568,595,False,890.0302521008404,1.0,0.5831046619459326
FT12 南瓜 木瓜型 阿嬌,15.526367672006582,,15.526367672006582,,0.4059578400935163,492205,203,False,2424.655172413793,0.3411764705882353,0.30922954249792967
MI1 秀珍菇,75.72297312134026,79.74805719404398,71.9897712131425,0.36432389525587294,0.3499935527720669,491840,595,False,826.6218487394958,1.0,0.32794382079069356
FY7 玉米 糯米白,14.52768738450444,13.682346032719682,15.551515728056824,0.4917939466034507,0.5096909402218763,488114,530,False,920.9698113207547,0.8907563025210085,0.09452203897812948
LI0 萵苣菜 其他,97.30465015629743,99.28598295508132,95.4869569663266,0.5719404682599061,0.6607686376506102,487532,595,False,819.381512605042,1.0,1.2279235824759946
FV9 辣椒 進口,72.48826346780987,70.68363893268287,76.71828082946352,0.4235162285368994,0.30970768237825114,479588,512,False,936.6953125,0.8605042016806723,0.22942509556844995
LI92 萵苣菜 進口 結球萵,82.78138596242377,,82.78138596242377,,0.5889863876268688,465294,124,False,3752.3709677419356,0.20840336134453782,0.7656023641278892
FI3 茄子 日本種,30.440183812694432,37.60831633586068,24.19559164733179,1.1349249057608497,0.781751725508014,458075,595,False,769.8739495798319,1.0,0.8240269199333523
SA32 蘿蔔 矸仔 未洗,9.028610888029009,9.028610888029009,,0.16676418790207512,,410910,12,False,34242.5,0.020168067226890758,1.003821758005912
FR2 青花苔 青花筍,72.50838618417343,73.6657214322759,71.54688449541078,0.6418584443637377,0.5480181781214414,407909,437,False,933.4302059496567,0.7344537815126051,0.8414133153939125
SZ8 香茅,44.27809973926793,49.31172257019968,40.11793824001153,0.41675085270934736,0.46613143537243634,405397,594,False,682.486531986532,0.9983193277310924,0.68572784112832
SU21 薯蕷 白薯蕷 人參,53.04890897330733,,53.04890897330733,,0.39065661541451646,403519,192,False,2101.6614583333335,0.3226890756302521,0.6747102867739203
SV92 蘆筍 進口 綠蘆筍,171.0309757492953,,171.0309757492953,,0.37577959875398326,382793,210,False,1822.8238095238096,0.35294117647058826,0.41224663934221606
OI4 筍茸,29.956612458966905,30.10597194984906,29.813540710252756,0.16335946297132994,0.17147539148210414,371042,593,False,625.7032040472176,0.9966386554621849,0.010543563472632952
SA6 蘿蔔 白玉蘿蔔,29.115140631924852,27.420710852735482,30.61472423577116,0.5248342629274735,0.47533825950422154,370044,283,False,1307.5759717314488,0.4756302521008403,0.7363492600448753
FV2 辣椒 青小,56.69947552686082,57.165346235258546,56.187862496206854,0.6594581866495481,0.6473423326463162,366463,595,False,615.9042016806723,1.0,0.761708042285923
